Message Type,Sequence Number,Latitude,Longitude,Heading
HEARTBEAT_MESSAGE,0,0,0,
GPS_MESSAGE,0,12.95263,79.96507,100
IGNITION_OFF_HB_MESSAGE,0,12.95263,79.96507,100
HEARTBEAT_MESSAGE,0,0,0,
GPS_MESSAGE,0,12.95245,79.96512,100
IGNITION_OFF_HB_MESSAGE,0,12.95245,79.96512,100
TRIP_START,1,12.95252,79.96517,
VERSION_UPDATE,1,12.95252,79.96517,
GPS_MESSAGE,2,12.95252,79.96517,100
IGNITION_ON,1,12.95252,79.96517,
GPS_MESSAGE,3,12.95264,79.96514,219
IGNITION_OFF,2,12.95264,79.96514,
LCV_BS6_OBD2_PERIODIC,39134,12.95261,79.96512,255.27
LCV_BS6_OBD2_PERIODIC,39135,12.95259,79.96511,289.69
LCV_BS6_OBD2_PERIODIC,39136,12.95259,79.96511,248.13
LCV_BS6_OBD2_PERIODIC,39137,12.95259,79.96512,225.33
LCV_BS6_OBD2_PERIODIC,39138,12.9526,79.96512,298.44
LCV_BS6_OBD2_PERIODIC,39139,12.9526,79.96513,214.72
LCV_BS6_OBD2_PERIODIC,39140,12.95262,79.96516,112.19
HEARTBEAT_MESSAGE,0,0,0,
LCV_BS6_OBD2_PERIODIC,39141,12.95261,79.96516,134.19
LCV_BS6_OBD2_PERIODIC,39142,12.9526,79.96517,61.77
LCV_BS6_OBD2_PERIODIC,39143,12.9526,79.96516,346.64
GPS_MESSAGE,9,12.9526,79.96516,90
LCV_BS6_OBD2_PERIODIC,39144,12.9526,79.96516,193.25
LCV_BS6_OBD2_PERIODIC,39145,12.95261,79.96518,303.14
LCV_BS6_OBD2_PERIODIC,39146,12.95262,79.96518,62.24
LCV_BS6_OBD2_PERIODIC,39147,12.95262,79.96518,210.97
LCV_BS6_OBD2_PERIODIC,39148,12.95261,79.96518,150.97
LCV_BS6_OBD2_PERIODIC,39149,12.95261,79.96518,196.44
LCV_BS6_OBD2_PERIODIC,39150,12.95261,79.96517,83.45
LCV_BS6_OBD2_PERIODIC,39151,12.95261,79.96518,123.06
LCV_BS6_OBD2_PERIODIC,39152,12.95258,79.96516,223.16
LCV_BS6_OBD2_PERIODIC,39153,12.95259,79.96516,165.88
IGNITION_ON,3,12.95259,79.96516,
GPS_MESSAGE,4,12.95259,79.96516,195
LCV_BS6_OBD2_PERIODIC,39154,12.95259,79.96516,104.45
LCV_BS6_OBD2_PERIODIC,39155,12.95259,79.9652,140.41
LCV_BS6_OBD2_PERIODIC,39156,12.95259,79.96517,112.01
LCV_BS6_OBD2_PERIODIC,39157,12.9526,79.96516,163.63
LCV_BS6_OBD2_PERIODIC,39158,12.95259,79.96513,126.47
LCV_BS6_OBD2_PERIODIC,39159,12.95259,79.96513,124.87
LCV_BS6_OBD2_PERIODIC,39160,12.95258,79.96513,151.16
LCV_BS6_OBD2_PERIODIC,39161,12.95253,79.96518,142.36
LCV_BS6_OBD2_PERIODIC,39162,12.95246,79.96529,113.43
LCV_BS6_OBD2_PERIODIC,39163,12.95245,79.96543,76.84
GPS_MESSAGE,15,12.95247,79.96549,61
LCV_BS6_OBD2_PERIODIC,39164,12.95253,79.96555,28.7
LCV_BS6_OBD2_PERIODIC,39165,12.95265,79.9656,64.38
LCV_BS6_OBD2_PERIODIC,39166,12.95264,79.96567,108.95
LCV_BS6_OBD2_PERIODIC,39167,12.95258,79.96574,113.34
LCV_BS6_OBD2_PERIODIC,39168,12.95257,79.96577,60.72
IGNITION_OFF,4,12.95257,79.96577,
LCV_BS6_OBD2_PERIODIC,39169,12.95257,79.96577,85.2
LCV_BS6_OBD2_PERIODIC,39170,12.95257,79.96576,72.95
LCV_BS6_OBD2_PERIODIC,39171,12.95256,79.96574,205.11
LCV_BS6_OBD2_PERIODIC,39172,12.95256,79.96573,211.8
LCV_BS6_OBD2_PERIODIC,39173,12.95255,79.96573,118.83
GPS_MESSAGE,10,12.95255,79.96573,131
LCV_BS6_OBD2_PERIODIC,39174,12.95255,79.96573,90.91
LCV_BS6_OBD2_PERIODIC,39175,12.95256,79.96575,113.73
LCV_BS6_OBD2_PERIODIC,39176,12.95256,79.96574,357.02
LCV_BS6_OBD2_PERIODIC,39177,12.95257,79.96575,191.03
LCV_BS6_OBD2_PERIODIC,39178,12.95256,79.96574,107.36
LCV_BS6_OBD2_PERIODIC,39179,12.95258,79.96574,127.34
LCV_BS6_OBD2_PERIODIC,39180,12.95259,79.96575,283.07
LCV_BS6_OBD2_PERIODIC,39181,12.9526,79.96575,337.98
LCV_BS6_OBD2_PERIODIC,39182,12.95258,79.96574,155.66
LCV_BS6_OBD2_PERIODIC,39183,12.95258,79.96574,89.36
GPS_MESSAGE,5,12.95258,79.96575,87
LCV_BS6_OBD2_PERIODIC,39184,12.95257,79.96575,208.3
LCV_BS6_OBD2_PERIODIC,39185,12.95257,79.96576,61.72
LCV_BS6_OBD2_PERIODIC,39186,12.95257,79.96576,95.55
LCV_BS6_OBD2_PERIODIC,39187,12.95257,79.96576,359.39
GPS_MESSAGE,10,12.95257,79.96576,318
TRIP_END,10,12.95257,79.96576,
TRIP_START,0,12.95257,79.96576,
VERSION_UPDATE,0,12.95257,79.96576,
GPS_MESSAGE,1,12.95257,79.96576,318
IGNITION_ON,1,12.95257,79.96576,
LCV_BS6_OBD2_PERIODIC,39188,12.95257,79.96576,318.55
GPS_MESSAGE,2,12.95248,79.96595,104
LCV_BS6_OBD2_PERIODIC,39189,12.95248,79.96595,104.4
IGNITION_OFF,2,12.95247,79.96592,
LCV_BS6_OBD2_PERIODIC,39190,12.95252,79.96582,145
LCV_BS6_OBD2_PERIODIC,39191,12.95252,79.96585,173.69
LCV_BS6_OBD2_PERIODIC,39192,12.95252,79.96586,128.03
LCV_BS6_OBD2_PERIODIC,39193,12.95252,79.96586,92.83
LCV_BS6_OBD2_PERIODIC,39194,12.95254,79.96584,287.79
LCV_BS6_OBD2_PERIODIC,39195,12.95255,79.96584,69.18
LCV_BS6_OBD2_PERIODIC,39196,12.95257,79.96582,349.89
HEARTBEAT_MESSAGE,0,0,0,
LCV_BS6_OBD2_PERIODIC,39197,12.95256,79.96582,171.97
LCV_BS6_OBD2_PERIODIC,39198,12.95255,79.96581,107.19
GPS_MESSAGE,8,12.95255,79.96581,125
LCV_BS6_OBD2_PERIODIC,39199,12.95255,79.96582,234.52
LCV_BS6_OBD2_PERIODIC,39200,12.95255,79.96582,123.73
LCV_BS6_OBD2_PERIODIC,39201,12.95255,79.96581,299.39
LCV_BS6_OBD2_PERIODIC,39202,12.95256,79.96581,110.22
LCV_BS6_OBD2_PERIODIC,39203,12.95255,79.96582,137.27
LCV_BS6_OBD2_PERIODIC,39204,12.95255,79.9658,54.34
LCV_BS6_OBD2_PERIODIC,39205,12.95255,79.9658,259.64
LCV_BS6_OBD2_PERIODIC,39206,12.95255,79.9658,136
LCV_BS6_OBD2_PERIODIC,39207,12.95253,79.96579,241.94
LCV_BS6_OBD2_PERIODIC,39208,12.95254,79.96579,134.88
GPS_MESSAGE,3,12.95254,79.96579,201
GPS_MESSAGE,4,12.95254,79.96579,194
TRIP_END,4,12.95254,79.96579,
TRIP_START,0,12.95254,79.96579,
VERSION_UPDATE,0,12.95254,79.96579,
GPS_MESSAGE,1,12.95254,79.96579,194
IGNITION_ON,1,12.95254,79.96579,
LCV_BS6_OBD2_PERIODIC,39209,12.95237,79.96587,197.49
GPS_MESSAGE,2,12.95249,79.96577,116
LCV_BS6_OBD2_PERIODIC,39210,12.95249,79.96579,116.37
IGNITION_OFF,2,12.95247,79.96582,
LCV_BS6_OBD2_PERIODIC,39211,12.95246,79.96582,146.27
LCV_BS6_OBD2_PERIODIC,39212,12.95246,79.96583,106.51
LCV_BS6_OBD2_PERIODIC,39213,12.95248,79.96585,357.33
LCV_BS6_OBD2_PERIODIC,39214,12.95249,79.96585,314.85
LCV_BS6_OBD2_PERIODIC,39215,12.9525,79.96585,295.27
HEARTBEAT_MESSAGE,0,0,0,
LCV_BS6_OBD2_PERIODIC,39216,12.9525,79.96585,300.88
LCV_BS6_OBD2_PERIODIC,39217,12.95253,79.96585,251.13
LCV_BS6_OBD2_PERIODIC,39218,12.95254,79.96586,358.5
GPS_MESSAGE,8,12.95253,79.96588,51
LCV_BS6_OBD2_PERIODIC,39219,12.95253,79.96588,51.22
LCV_BS6_OBD2_PERIODIC,39220,12.95253,79.96587,276.13
LCV_BS6_OBD2_PERIODIC,39221,12.95253,79.96588,99.93
LCV_BS6_OBD2_PERIODIC,39222,12.95249,79.96586,227.14
LCV_BS6_OBD2_PERIODIC,39223,12.95248,79.96587,177.38
LCV_BS6_OBD2_PERIODIC,39224,12.95248,79.96589,136.1
LCV_BS6_OBD2_PERIODIC,39225,12.95248,79.9659,161.11
LCV_BS6_OBD2_PERIODIC,39226,12.9525,79.96588,11.22
LCV_BS6_OBD2_PERIODIC,39227,12.95253,79.96587,105.87
LCV_BS6_OBD2_PERIODIC,39228,12.95253,79.96586,296.76
GPS_MESSAGE,2,12.95252,79.96586,150
LCV_BS6_OBD2_PERIODIC,39229,12.95252,79.96586,150.69
LCV_BS6_OBD2_PERIODIC,39230,12.95251,79.96586,90.36
GPS_MESSAGE,4,12.95252,79.96587,23
TRIP_END,4,12.95252,79.96587,
TRIP_START,0,12.95252,79.96587,
VERSION_UPDATE,0,12.95252,79.96587,
GPS_MESSAGE,1,12.95252,79.96587,23
IGNITION_ON,1,12.95252,79.96587,
LCV_BS6_OBD2_PERIODIC,39231,12.95264,79.96586,229.52
GPS_MESSAGE,2,12.9526,79.96589,39
LCV_BS6_OBD2_PERIODIC,39232,12.95257,79.96592,82.73
LCV_BS6_OBD2_PERIODIC,39233,12.95253,79.966,133.89
IGNITION_OFF,2,12.95252,79.96597,
LCV_BS6_OBD2_PERIODIC,39234,12.95251,79.96596,185.58
LCV_BS6_OBD2_PERIODIC,39235,12.95249,79.96595,155.69
LCV_BS6_OBD2_PERIODIC,39236,12.95249,79.96595,353.72
LCV_BS6_OBD2_PERIODIC,39237,12.95251,79.96595,214.64
LCV_BS6_OBD2_PERIODIC,39238,12.95252,79.96595,74.83
HEARTBEAT_MESSAGE,0,0,0,
LCV_BS6_OBD2_PERIODIC,39239,12.95254,79.96595,328.27
LCV_BS6_OBD2_PERIODIC,39240,12.95256,79.96594,208.64
GPS_MESSAGE,8,12.95255,79.96594,357
LCV_BS6_OBD2_PERIODIC,39241,12.95255,79.96594,16.98
LCV_BS6_OBD2_PERIODIC,39242,12.95255,79.96594,3.39
LCV_BS6_OBD2_PERIODIC,39243,12.95254,79.96595,279.16
LCV_BS6_OBD2_PERIODIC,39244,12.95252,79.96595,52.79
LCV_BS6_OBD2_PERIODIC,39245,12.95249,79.96596,167.82
LCV_BS6_OBD2_PERIODIC,39246,12.95247,79.96597,136.67
LCV_BS6_OBD2_PERIODIC,39247,12.95247,79.96597,94.26
LCV_BS6_OBD2_PERIODIC,39248,12.95249,79.96597,353.33
LCV_BS6_OBD2_PERIODIC,39249,12.95249,79.96596,1.65
