Message Type,Event Time,Ingestion Timestamp,Sequence Number,Latitude,Longitude,Altitude,Heading,Packet Status,Vehicle Speed,GPS Speed,GPS Odometer,FixQuality,Number of Satellites,Config Version,Firmware Version
HEARTBEAT_MESSAGE,2023-11-21 01:43:18,2023-11-21 01:43:18,0,0.0,0.0,,,,,,,,,V_0115,DALCC00406
GPS_MESSAGE,2023-11-21 01:51:29,2023-11-21 05:55:21,0,12.95263,79.96507,34,100,A,,,,FixOK,14,V_0115,DALCC00406
IGNITION_OFF_HB_MESSAGE,2023-11-21 01:51:29,2023-11-21 05:55:21,0,12.95263,79.96507,34,100,A,,,,FixOK,14,V_0115,DALCC00406
HEARTBEAT_MESSAGE,2023-11-21 05:43:36,2023-11-21 05:43:36,0,0.0,0.0,,,,,,,,,V_0115,DALCC00406
GPS_MESSAGE,2023-11-21 05:44:38,2023-11-21 05:55:21,0,12.95245,79.96512,34,100,A,,,,FixOK,14,V_0115,DALCC00406
IGNITION_OFF_HB_MESSAGE,2023-11-21 05:44:38,2023-11-21 05:55:21,0,12.95245,79.96512,34,100,A,,,,FixOK,14,V_0115,DALCC00406
TRIP_START,2023-11-21 05:54:31,2023-11-21 05:55:23,1,12.95252,79.96517,,,,,,,StoredFix,,V_0115,DALCC00406
VERSION_UPDATE,2023-11-21 05:54:34,2023-11-21 05:55:23,1,12.95252,79.96517,,,,,,,StoredFix,,V_0115,DALCC00406
GPS_MESSAGE,2023-11-21 05:54:34,2023-11-21 05:55:25,2,12.95252,79.96517,34,100,,,,,StoredFix,14,V_0115,DALCC00406
IGNITION_ON,2023-11-21 05:54:35,2023-11-21 05:55:25,1,12.95252,79.96517,,,,,,,StoredFix,,V_0115,DALCC00406
GPS_MESSAGE,2023-11-21 05:54:39,2023-11-21 05:55:27,3,12.95264,79.96514,28,219,A,,,,FixOK,9,V_0115,DALCC00406
IGNITION_OFF,2023-11-21 05:54:39,2023-11-21 05:55:27,2,12.95264,79.96514,,,,,,,FixOK,,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:54:40,2023-11-21 05:55:29,39134,12.95261,79.96512,9.32,255.27,A,0.0,,,FixOK,8,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:54:46,2023-11-21 05:55:29,39135,12.95259,79.96511,42.4,289.69,A,0.0,,,FixOK,9,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:54:52,2023-11-21 05:55:32,39136,12.95259,79.96511,44.0,248.13,A,0.0,,,FixOK,9,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:54:58,2023-11-21 05:55:32,39137,12.95259,79.96512,44.4,225.33,A,0.0,,,FixOK,11,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:55:04,2023-11-21 05:55:34,39138,12.9526,79.96512,40.7,298.44,A,0.0,,,FixOK,10,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:55:10,2023-11-21 05:55:34,39139,12.9526,79.96513,38.799,214.72,A,0.0,,,FixOK,10,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:55:16,2023-11-21 05:55:36,39140,12.95262,79.96516,37.2,112.19,A,0.0,,,FixOK,9,V_0115,DALCC00406
HEARTBEAT_MESSAGE,2023-11-21 05:55:18,2023-11-21 05:55:18,0,0.0,0.0,,,,,,,,,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:55:22,2023-11-21 05:55:36,39141,12.95261,79.96516,34.5,134.19,A,0.0,,,FixOK,11,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:55:28,2023-11-21 05:55:38,39142,12.9526,79.96517,33.4,61.77,A,0.0,,,FixOK,12,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:55:34,2023-11-21 05:55:38,39143,12.9526,79.96516,32.4,346.64,A,0.0,,,FixOK,11,V_0115,DALCC00406
GPS_MESSAGE,2023-11-21 05:55:36,2023-11-21 05:55:40,9,12.9526,79.96516,32,90,A,,,,FixOK,10,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:55:40,2023-11-21 05:55:42,39144,12.9526,79.96516,32.299,193.25,A,0.0,,,FixOK,10,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:55:46,2023-11-21 05:55:49,39145,12.95261,79.96518,31.799,303.14,A,0.0,,,FixOK,11,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:55:52,2023-11-21 05:55:55,39146,12.95262,79.96518,31.6,62.24,A,0.0,,,FixOK,10,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:55:58,2023-11-21 05:56:01,39147,12.95262,79.96518,31.2,210.97,A,0.0,,,FixOK,12,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:56:04,2023-11-21 05:56:07,39148,12.95261,79.96518,31.2,150.97,A,0.0,,,FixOK,12,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:56:10,2023-11-21 05:56:13,39149,12.95261,79.96518,32.0,196.44,A,0.0,,,FixOK,12,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:56:16,2023-11-21 05:56:19,39150,12.95261,79.96517,32.799,83.45,A,0.0,,,FixOK,12,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:56:22,2023-11-21 05:56:25,39151,12.95261,79.96518,34.0,123.06,A,0.0,,,FixOK,12,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:56:28,2023-11-21 05:56:31,39152,12.95258,79.96516,35.9,223.16,A,0.0,,,FixOK,11,V_0115,DALCC00406
